date,crop,price,state
2025-03-01,Maize,2341.58,India
2025-02-01,Maize,2356.01,India
2025-01-01,Maize,2382.2,India
2024-12-01,Maize,2328.78,India
2024-11-01,Maize,2273.46,India
2024-10-01,Maize,2237.98,India
2024-09-01,Maize,2393.13,India
2024-08-01,Maize,2456.74,India
2024-07-01,Maize,2338.06,India
2024-06-01,Maize,2174.73,India
2024-05-01,Maize,2160.46,India
2024-04-01,Maize,2127.54,India
2024-03-01,Maize,2153.6,India
2024-02-01,Maize,2149.41,India
2024-01-01,Maize,2126.57,India
2023-12-01,Maize,2092.06,India
2023-11-01,Maize,2073.47,India
2023-10-01,Maize,1965.06,India
2023-09-01,Maize,2024.29,India
2023-08-01,Maize,2145.24,India
2023-07-01,Maize,1984.76,India
2023-06-01,Maize,1871.36,India
2023-05-01,Maize,1890.47,India
2023-04-01,Maize,2005.26,India
2023-03-01,Maize,2093.35,India
2023-02-01,Maize,2104.84,India
2023-01-01,Maize,2127.73,India
2022-12-01,Maize,2086.54,India
2022-11-01,Maize,2007.96,India
2022-10-01,Maize,1947.74,India
2022-09-01,Maize,2111.81,India
2022-08-01,Maize,2144.26,India
2022-07-01,Maize,2066.51,India
2022-06-01,Maize,2028.96,India
2022-05-01,Maize,2039.46,India
2022-04-01,Maize,2044.89,India
2022-03-01,Maize,1979.05,India
2022-02-01,Maize,1833.29,India
2022-01-01,Maize,1718.96,India
2021-12-01,Maize,1623.77,India
2021-11-01,Maize,1594.7,India
2021-10-01,Maize,1571.24,India
2021-09-01,Maize,1690.47,India
2021-08-01,Maize,1720.55,India
2021-07-01,Maize,1661.78,India
2021-06-01,Maize,1556.74,India
2021-05-01,Maize,1516.83,India
2021-04-01,Maize,1476.87,India
2021-03-01,Maize,1413.44,India
2021-02-01,Maize,1344.75,India
2021-01-01,Maize,1377.77,India
2020-12-01,Maize,1419.01,India
2020-11-01,Maize,1415.24,India
2020-10-01,Maize,1278.8,India
2020-09-01,Maize,1277.05,India
2020-08-01,Maize,1304.89,India
2020-07-01,Maize,1338.15,India
2020-06-01,Maize,1367.7,India
2020-05-01,Maize,1384.91,India
2020-04-01,Maize,1547.57,India
2020-03-01,Maize,1578.73,India
2020-02-01,Maize,1704.79,India
2020-01-01,Maize,1852.75,India
2019-12-01,Maize,1862.85,India
2019-11-01,Maize,1740.8,India
2019-10-01,Maize,1860.45,India
2019-09-01,Maize,1972.05,India
2019-08-01,Maize,2000.79,India
2019-07-01,Maize,1967.68,India
2019-06-01,Maize,1894.12,India
2019-05-01,Maize,1932.18,India
2019-04-01,Maize,1951.69,India
2019-03-01,Maize,1845.83,India
2019-02-01,Maize,1839.28,India
2019-01-01,Maize,1687.79,India
2018-12-01,Maize,1577.7,India
2018-11-01,Maize,1426.14,India
2018-10-01,Maize,1394.96,India
2018-09-01,Maize,1383.72,India
2018-08-01,Maize,1353.57,India
2018-07-01,Maize,1313.76,India
2018-06-01,Maize,1297.7,India
2018-05-01,Maize,1277.06,India
2018-04-01,Maize,1253.78,India
2018-03-01,Maize,1244.13,India
2018-02-01,Maize,1254.13,India
2018-01-01,Maize,1247.34,India
2017-12-01,Maize,1240.38,India
2017-11-01,Maize,1224.57,India
2017-10-01,Maize,1277.21,India
2017-09-01,Maize,1351.91,India
2017-08-01,Maize,1387.85,India
2017-07-01,Maize,1391.81,India
2017-06-01,Maize,1392.3,India
2017-05-01,Maize,1421.72,India
2017-04-01,Maize,1425.32,India
2017-03-01,Maize,1427.25,India
2017-02-01,Maize,1431.6,India
2017-01-01,Maize,1416.83,India
2016-12-01,Maize,1390.49,India
2016-11-01,Maize,1380.87,India
2016-10-01,Maize,1419.52,India
2016-09-01,Maize,1534.8,India
2016-08-01,Maize,1568.38,India
2016-07-01,Maize,1567.04,India
2016-06-01,Maize,1517.49,India
2016-05-01,Maize,1445.77,India
2016-04-01,Maize,1429.5,India
2016-03-01,Maize,1445.97,India
2016-02-01,Maize,1447.6,India
2016-01-01,Maize,1448.13,India
2015-12-01,Maize,1437.79,India
2015-11-01,Maize,1397.88,India
2015-10-01,Maize,1375.91,India
2015-09-01,Maize,1405.0,India
2015-08-01,Maize,1352.01,India
2015-07-01,Maize,1316.21,India
2015-06-01,Maize,1282.68,India
2015-05-01,Maize,1284.25,India
2015-04-01,Maize,1296.07,India
2015-03-01,Maize,1293.69,India
2015-02-01,Maize,1262.78,India
2015-01-01,Maize,1246.63,India
2014-12-01,Maize,1217.7,India
2014-11-01,Maize,1216.6,India
2014-10-01,Maize,1238.12,India
2014-09-01,Maize,1287.07,India
2014-08-01,Maize,1318.03,India
2014-07-01,Maize,1290.9,India
2014-06-01,Maize,1271.88,India
2014-05-01,Maize,1287.37,India
2014-04-01,Maize,1294.91,India
2014-03-01,Maize,1290.29,India
2014-02-01,Maize,1266.1,India
2014-01-01,Maize,1269.45,India
2013-12-01,Maize,1298.67,India
2013-11-01,Maize,1311.8,India
2013-10-01,Maize,1328.57,India
2013-09-01,Maize,1384.58,India
2013-08-01,Maize,1362.83,India
2013-07-01,Maize,1367.22,India
2013-06-01,Maize,1336.56,India
2013-05-01,Maize,1272.34,India
2013-04-01,Maize,1296.86,India
2013-03-01,Maize,1310.69,India
2013-02-01,Maize,1310.48,India
2013-01-01,Maize,1319.1,India
2012-12-01,Maize,1319.59,India
2012-11-01,Maize,1249.83,India
2012-10-01,Maize,1221.77,India
2012-09-01,Maize,1260.12,India
2012-08-01,Maize,1241.63,India
2012-07-01,Maize,1180.79,India
2012-06-01,Maize,1072.7,India
2012-05-01,Maize,1080.98,India
2012-04-01,Maize,1122.4,India
2012-03-01,Maize,1115.02,India
2012-02-01,Maize,1108.48,India
2012-01-01,Maize,1100.3,India
2011-12-01,Maize,1030.97,India
2011-11-01,Maize,998.14,India
2011-10-01,Maize,974.87,India
2011-09-01,Maize,1025.9,India
2011-08-01,Maize,1073.85,India
2011-07-01,Maize,1091.74,India
2011-06-01,Maize,1087.63,India
2011-05-01,Maize,1076.34,India
2011-04-01,Maize,1088.7,India
2011-03-01,Maize,1004.07,India
2011-02-01,Maize,951.73,India
2011-01-01,Maize,938.75,India
2010-12-01,Maize,904.58,India
2010-11-01,Maize,906.49,India
2010-10-01,Maize,925.74,India
2010-09-01,Maize,975.81,India
2010-08-01,Maize,977.09,India
2010-07-01,Maize,990.22,India
2010-06-01,Maize,948.83,India
2010-05-01,Maize,903.84,India
2010-04-01,Maize,904.26,India
2010-03-01,Maize,892.99,India
2010-02-01,Maize,900.92,India
2010-01-01,Maize,901.75,India
2025-03-01,Wheat,2730.88,India
2025-02-01,Wheat,2891.92,India
2025-01-01,Wheat,2929.33,India
2024-12-01,Wheat,2816.44,India
2024-11-01,Wheat,2809.21,India
2024-10-01,Wheat,2727.4,India
2024-09-01,Wheat,2628.79,India
2024-08-01,Wheat,2581.02,India
2024-07-01,Wheat,2510.78,India
2024-06-01,Wheat,2469.96,India
2024-05-01,Wheat,2421.74,India
2024-04-01,Wheat,2385.14,India
2024-03-01,Wheat,2430.32,India
2024-02-01,Wheat,2459.65,India
2024-01-01,Wheat,2541.99,India
2023-12-01,Wheat,2527.54,India
2023-11-01,Wheat,2559.27,India
2023-10-01,Wheat,2470.39,India
2023-09-01,Wheat,2399.73,India
2023-08-01,Wheat,2420.29,India
2023-07-01,Wheat,2295.88,India
2023-06-01,Wheat,2276.12,India
2023-05-01,Wheat,2229.2,India
2023-04-01,Wheat,2204.92,India
2023-03-01,Wheat,2249.98,India
2023-02-01,Wheat,2477.88,India
2023-01-01,Wheat,2672.07,India
2022-12-01,Wheat,2565.7,India
2022-11-01,Wheat,2477.68,India
2022-10-01,Wheat,2310.44,India
2022-09-01,Wheat,2262.45,India
2022-08-01,Wheat,2254.57,India
2022-07-01,Wheat,2132.43,India
2022-06-01,Wheat,2073.7,India
2022-05-01,Wheat,2125.76,India
2022-04-01,Wheat,2113.39,India
2022-03-01,Wheat,2100.39,India
2022-02-01,Wheat,1988.49,India
2022-01-01,Wheat,1965.45,India
2021-12-01,Wheat,1950.14,India
2021-11-01,Wheat,1947.59,India
2021-10-01,Wheat,1915.57,India
2021-09-01,Wheat,1871.44,India
2021-08-01,Wheat,1787.63,India
2021-07-01,Wheat,1768.06,India
2021-06-01,Wheat,1822.91,India
2021-05-01,Wheat,1911.54,India
2021-04-01,Wheat,1887.38,India
2021-03-01,Wheat,1749.94,India
2021-02-01,Wheat,1731.81,India
2021-01-01,Wheat,1741.35,India
2020-12-01,Wheat,1663.38,India
2020-11-01,Wheat,1706.73,India
2020-10-01,Wheat,1684.33,India
2020-09-01,Wheat,1701.05,India
2020-08-01,Wheat,1782.08,India
2020-07-01,Wheat,1835.6,India
2020-06-01,Wheat,1868.32,India
2020-05-01,Wheat,1907.29,India
2020-04-01,Wheat,1926.64,India
2020-03-01,Wheat,1923.22,India
2020-02-01,Wheat,2060.85,India
2020-01-01,Wheat,2126.37,India
2019-12-01,Wheat,2068.61,India
2019-11-01,Wheat,2048.83,India
2019-10-01,Wheat,2003.45,India
2019-09-01,Wheat,1968.81,India
2019-08-01,Wheat,1972.14,India
2019-07-01,Wheat,1911.66,India
2019-06-01,Wheat,1879.2,India
2019-05-01,Wheat,1882.64,India
2019-04-01,Wheat,1860.49,India
2019-03-01,Wheat,1926.27,India
2019-02-01,Wheat,1981.2,India
2019-01-01,Wheat,1988.05,India
2018-12-01,Wheat,1959.32,India
2018-11-01,Wheat,1934.13,India
2018-10-01,Wheat,1899.07,India
2018-09-01,Wheat,1877.19,India
2018-08-01,Wheat,1869.65,India
2018-07-01,Wheat,1804.62,India
2018-06-01,Wheat,1756.9,India
2018-05-01,Wheat,1749.48,India
2018-04-01,Wheat,1729.73,India
2018-03-01,Wheat,1702.47,India
2018-02-01,Wheat,1678.3,India
2018-01-01,Wheat,1677.17,India
2017-12-01,Wheat,1662.37,India
2017-11-01,Wheat,1657.94,India
2017-10-01,Wheat,1638.26,India
2017-09-01,Wheat,1639.31,India
2017-08-01,Wheat,1647.98,India
2017-07-01,Wheat,1640.19,India
2017-06-01,Wheat,1648.55,India
2017-05-01,Wheat,1671.64,India
2017-04-01,Wheat,1677.46,India
2017-03-01,Wheat,1722.02,India
2017-02-01,Wheat,1837.55,India
2017-01-01,Wheat,1888.46,India
2016-12-01,Wheat,1907.5,India
2016-11-01,Wheat,1906.67,India
2016-10-01,Wheat,1760.93,India
2016-09-01,Wheat,1746.23,India
2016-08-01,Wheat,1752.82,India
2016-07-01,Wheat,1740.92,India
2016-06-01,Wheat,1729.18,India
2016-05-01,Wheat,1663.35,India
2016-04-01,Wheat,1630.96,India
2016-03-01,Wheat,1687.5,India
2016-02-01,Wheat,1704.4,India
2016-01-01,Wheat,1700.67,India
2015-12-01,Wheat,1671.4,India
2015-11-01,Wheat,1644.58,India
2015-10-01,Wheat,1620.94,India
2015-09-01,Wheat,1556.85,India
2015-08-01,Wheat,1535.24,India
2015-07-01,Wheat,1531.83,India
2015-06-01,Wheat,1531.15,India
2015-05-01,Wheat,1523.75,India
2015-04-01,Wheat,1526.3,India
2015-03-01,Wheat,1558.81,India
2015-02-01,Wheat,1590.13,India
2015-01-01,Wheat,1622.55,India
2014-12-01,Wheat,1571.9,India
2014-11-01,Wheat,1558.58,India
2014-10-01,Wheat,1530.53,India
2014-09-01,Wheat,1635.58,India
2014-08-01,Wheat,1573.63,India
2014-07-01,Wheat,1545.7,India
2014-06-01,Wheat,1520.61,India
2014-05-01,Wheat,1540.28,India
2014-04-01,Wheat,1552.83,India
2014-03-01,Wheat,1647.1,India
2014-02-01,Wheat,1697.11,India
2014-01-01,Wheat,1711.22,India
2013-12-01,Wheat,1685.31,India
2013-11-01,Wheat,1658.27,India
2013-10-01,Wheat,1587.48,India
2013-09-01,Wheat,1544.04,India
2013-08-01,Wheat,1524.62,India
2013-07-01,Wheat,1550.57,India
2013-06-01,Wheat,1571.73,India
2013-05-01,Wheat,1534.63,India
2013-04-01,Wheat,1504.9,India
2013-03-01,Wheat,1558.58,India
2013-02-01,Wheat,1598.55,India
2013-01-01,Wheat,1564.73,India
2012-12-01,Wheat,1551.28,India
2012-11-01,Wheat,1536.78,India
2012-10-01,Wheat,1462.5,India
2012-09-01,Wheat,1495.97,India
2012-08-01,Wheat,1448.42,India
2012-07-01,Wheat,1326.82,India
2012-06-01,Wheat,1256.77,India
2012-05-01,Wheat,1292.99,India
2012-04-01,Wheat,1288.67,India
2012-03-01,Wheat,1247.21,India
2012-02-01,Wheat,1196.12,India
2012-01-01,Wheat,1189.65,India
2011-12-01,Wheat,1124.0,India
2011-11-01,Wheat,1117.54,India
2011-10-01,Wheat,1094.55,India
2011-09-01,Wheat,1111.09,India
2011-08-01,Wheat,1134.02,India
2011-07-01,Wheat,1156.79,India
2011-06-01,Wheat,1164.28,India
2011-05-01,Wheat,1204.82,India
2011-04-01,Wheat,1213.22,India
2011-03-01,Wheat,1262.22,India
2011-02-01,Wheat,1311.63,India
2011-01-01,Wheat,1317.93,India
2010-12-01,Wheat,1293.93,India
2010-11-01,Wheat,1267.93,India
2010-10-01,Wheat,1237.74,India
2010-09-01,Wheat,1227.21,India
2010-08-01,Wheat,1241.78,India
2010-07-01,Wheat,1243.06,India
2010-06-01,Wheat,1239.27,India
2010-05-01,Wheat,1213.96,India
2010-04-01,Wheat,1204.13,India
2010-03-01,Wheat,1266.79,India
2010-02-01,Wheat,1364.98,India
2010-01-01,Wheat,1424.16,India
2025-03-01,Rice,3647.06,India
2025-02-01,Rice,3635.0,India
2025-01-01,Rice,3605.33,India
2024-12-01,Rice,3608.76,India
2024-11-01,Rice,3598.93,India
2024-10-01,Rice,3591.53,India
2024-09-01,Rice,3573.16,India
2024-08-01,Rice,3536.46,India
2024-07-01,Rice,3493.32,India
2024-06-01,Rice,3429.79,India
2024-05-01,Rice,3421.72,India
2024-04-01,Rice,3393.99,India
2024-03-01,Rice,3422.89,India
2024-02-01,Rice,3367.13,India
2024-01-01,Rice,3314.9,India
2023-12-01,Rice,3317.97,India
2023-11-01,Rice,3328.95,India
2023-10-01,Rice,3290.3,India
2023-09-01,Rice,3259.03,India
2023-08-01,Rice,3296.34,India
2023-07-01,Rice,3174.68,India
2023-06-01,Rice,3085.42,India
2023-05-01,Rice,3055.08,India
2023-04-01,Rice,3016.2,India
2023-03-01,Rice,3013.14,India
2023-02-01,Rice,3021.26,India
2023-01-01,Rice,2974.22,India
2022-12-01,Rice,2940.66,India
2022-11-01,Rice,2976.4,India
2022-10-01,Rice,3005.4,India
2022-09-01,Rice,3056.95,India
2022-08-01,Rice,3012.76,India
2022-07-01,Rice,2913.43,India
2022-06-01,Rice,2909.83,India
2022-05-01,Rice,2883.65,India
2022-04-01,Rice,2875.61,India
2022-03-01,Rice,2867.78,India
2022-02-01,Rice,2853.52,India
2022-01-01,Rice,2838.62,India
2021-12-01,Rice,2783.81,India
2021-11-01,Rice,2793.28,India
2021-10-01,Rice,2763.15,India
2021-09-01,Rice,2737.35,India
2021-08-01,Rice,2740.39,India
2021-07-01,Rice,2747.31,India
2021-06-01,Rice,2738.9,India
2021-05-01,Rice,2740.06,India
2021-04-01,Rice,2706.23,India
2021-03-01,Rice,2683.44,India
2021-02-01,Rice,2663.19,India
2021-01-01,Rice,2635.48,India
2020-12-01,Rice,2634.32,India
2020-11-01,Rice,2687.72,India
2020-10-01,Rice,2715.19,India
2020-09-01,Rice,2771.94,India
2020-08-01,Rice,2790.37,India
2020-07-01,Rice,2801.72,India
2020-06-01,Rice,2801.11,India
2020-05-01,Rice,2834.09,India
2020-04-01,Rice,2829.43,India
2020-03-01,Rice,2799.61,India
2020-02-01,Rice,2778.45,India
2020-01-01,Rice,2768.89,India
2019-12-01,Rice,2821.01,India
2019-11-01,Rice,2850.89,India
2019-10-01,Rice,2827.6,India
2019-09-01,Rice,2818.5,India
2019-08-01,Rice,2806.5,India
2019-07-01,Rice,2788.21,India
2019-06-01,Rice,2796.77,India
2019-05-01,Rice,2809.56,India
2019-04-01,Rice,2793.39,India
2019-03-01,Rice,2776.12,India
